Anemia,Fatigue (feeling tired or weak)
Anemia,Shortness of breath
Anemia,Dizziness
Anemia,Headache
Anemia,Coldness in the hands and feet
Anemia,Pale skin
Anemia,Chest pain
Anemia,Feeling grumpy
Anemia,Problems concentrating or thinking
Anemia,Blue color to the whites of the eyes
Anemia,Brittle nails
Anemia,Light-headedness when you stand up
Anemia,Sore tongue
Urinary Tract Infection,Pain or burning when urinating
Urinary Tract Infection,"Urinate often, but not much urine comes out"
Urinary Tract Infection,Belly feels tender or heavy
Urinary Tract Infection,Urine is cloudy or smells bad
Urinary Tract Infection,Pain in kidneys (on one side of your back under your ribs)
Urinary Tract Infection,Fever and chills
Urinary Tract Infection,Nausea and vomiting
Urinary Tract Infection,Pressure or cramping in the lower abdomen or back
Urinary Tract Infection,Chills and shaking or night sweats
Urinary Tract Infection,Fatigue and a general ill feeling
Urinary Tract Infection,Fever above 101 degrees Fahrenheit
Urinary Tract Infection,"Pain in the side, back, or groin"
Urinary Tract Infection,"Flushed, warm, or reddened skin"
Urinary Tract Infection,Mental changes or confusion
Diabetes,Increased thirst
Diabetes,Increased hunger (especially after eating)
Diabetes,Dry mouth
Diabetes,Frequent urination
Diabetes,Unexplained weight loss (even though you are eating and feel hungry)
Diabetes,"Fatigue (weak, tired feeling)"
Diabetes,Blurred vision
Diabetes,Headaches
Diabetes,Loss of consciousness (rare)
Atrial Fibrillation,"Palpitations (feelings that your heart is skipping a beat, fluttering, or beating too hard or fast)"
Atrial Fibrillation,Shortness of breath
Atrial Fibrillation,Weakness or problems exercising
Atrial Fibrillation,Chest pain
Atrial Fibrillation,Dizziness or fainting
Atrial Fibrillation,Fatigue (tiredness)
Atrial Fibrillation,Confusion
Stroke,"SUDDEN numbness or weakness of face, arm or leg - (especially on one side of the body)"
Stroke,"SUDDEN confusion, trouble speaking or understanding."
Stroke,SUDDEN trouble seeing in one or both eyes.
Stroke,"SUDDEN trouble walking, dizziness, loss of balance or coordination."
Stroke,SUDDEN severe headache with no known cause.
Sleep Apnea,Daytime sleepiness or fatigue
Sleep Apnea,Dry mouth or sore throat upon awakening
Sleep Apnea,Headaches in the morning
Sleep Apnea,"Trouble concentrating, forgetfulness, depression, or irritability"
Sleep Apnea,Night sweats
Sleep Apnea,Restlessness during sleep
Sleep Apnea,Sexual dysfunction
Sleep Apnea,Snoring
Sleep Apnea,Sudden awakenings with a sensation of gasping or choking
Sleep Apnea,Difficulty getting up in the mornings
Tuberculosis,Cough
Tuberculosis,Unintentional weight loss
Tuberculosis,Fatigue
Tuberculosis,Fever
Tuberculosis,Night sweats
Tuberculosis,Chills
Tuberculosis,Loss of appetite
COPD,"Constant coughing, sometimes called ""smoker's cough"""
COPD,Shortness of breath while doing activities you used to be able to do
COPD,Excess sputum production
COPD,Feeling like you can't breathe
COPD,Not being able to take a deep breath
COPD,Wheezing
Pneumonia,"Cough (with some pneumonias you may cough up greenish or yellow mucus, or even bloody mucus)"
Pneumonia,"Fever, which may be mild or high"
Pneumonia,Shaking chills
Pneumonia,Shortness of breath
Pneumonia,"Confusion, especially in older people"
Pneumonia,Excess sweating and clammy skin
Pneumonia,Headache
Pneumonia,"Loss of appetite, low energy, and fatigue"
Pneumonia,Sharp or stabbing chest pain that gets worse when you breathe deeply or cough
Otitis,"Earache (either a sharp, sudden pain or a dull, continuous pain)"
Otitis,A sharp stabbing pain with immediate warm drainage from the ear canal
Otitis,A feeling of fullness in the ear
Otitis,Nausea
Otitis,Muffled hearing
Otitis,Ear drainage
Leukocytosis,Bleeding or bruising.
Leukocytosis,"Feeling weak, tired, or sick."
Leukocytosis,"Feeling dizzy, faint, or sweaty."
Leukocytosis,"Pain or tingling in your arms, legs, or abdomen (stomach)."
Leukocytosis,Trouble breathing.
Leukocytosis,Trouble thinking or seeing.
Leukocytosis,Losing weight without trying or a poor appetite.
Hepatitis A,Fever
Hepatitis A,Loss of appetite (not wanting to eat)
Hepatitis A,Tiredness
Hepatitis A,Stomach pain
Hepatitis A,Vomiting
Hepatitis A,Dark urine
Hepatitis A,Yellow skin and eyes
Pertussis,Runny nose
Pertussis,Low-grade fever (generally minimal throughout the course of the disease)
Pertussis,"Mild, occasional cough"
Pertussis,Apnea — a pause in breathing (in infants)
Pertussis,"Paroxysms (fits) of many, rapid coughs followed by a high-pitched ""whoop"""
Pertussis,Vomiting (throwing up)
Pertussis,Exhaustion (very tired) after coughing fits
Hypertension,No main symptoms
Mononucleosis,Drowsiness
Mononucleosis,Fever
Mononucleosis,"General discomfort, uneasiness, or ill feeling"
Mononucleosis,Loss of appetite
Mononucleosis,Muscle aches or stiffness
Mononucleosis,Rash
Mononucleosis,Sore throat
Mononucleosis,"Swollen lymph nodes, especially in the neck and armpit"
Mononucleosis,Swollen spleen
Mononucleosis,Chest pain
Mononucleosis,Cough
Mononucleosis,Fatigue
Mononucleosis,Headache
Mononucleosis,Hives
Mononucleosis,Jaundice (yellow color to the skin)
Mononucleosis,Neck stiffness
Mononucleosis,Nosebleed
Mononucleosis,Rapid heart rate
Mononucleosis,Sensitivity to light
Mononucleosis,Shortness of breath
Allergens (airborne),Sneezing often accompanied by a runny or clogged nose
Allergens (airborne),Coughing and postnasal drip
Allergens (airborne),"Itching eyes, nose, and throat"
Allergens (airborne),Allergic shiners (dark circles under the eyes caused by increased blood flow near the sinuses)
Allergens (airborne),"The ""allergic salute"" (in a child, persistent upward rubbing of the nose that causes a crease mark on the nose)"
Allergens (airborne),Watering eyes
Allergens (airborne),"Conjunctivitis (an inflammation of the membrane that lines the eyelids, causing red-rimmed, swollen eyes, and crusting of the eyelids)"
Hypothyroidism,Fatigue
Hypothyroidism,Increased sensitivity to cold
Hypothyroidism,Constipation
Hypothyroidism,Dry skin
Hypothyroidism,Unexplained weight gain
Hypothyroidism,Puffy face
Hypothyroidism,Hoarseness
Hypothyroidism,Muscle weakness
Hypothyroidism,Elevated blood cholesterol level
Hypothyroidism,"Muscle aches, tenderness and stiffness"
Hypothyroidism,"Pain, stiffness or swelling in your joints"
Hypothyroidism,Heavier than normal or irregular menstrual periods
Hypothyroidism,Thinning hair
Hypothyroidism,Slowed heart rate
Hypothyroidism,Depression
Hypothyroidism,Impaired memory
hyperthyroidism,"Sudden weight loss, even when your appetite and the amount and type of food you eat remain the same or even increase"
hyperthyroidism,Rapid heartbeat (tachycardia) — commonly more than 100 beats a minute — irregular heartbeat (arrhythmia) or pounding of your heart (palpitations)
hyperthyroidism,Increased appetite
hyperthyroidism,"Nervousness, anxiety and irritability"
hyperthyroidism,Tremor — usually a fine trembling in your hands and fingers
hyperthyroidism,Sweating
hyperthyroidism,Changes in menstrual patterns
hyperthyroidism,Increased sensitivity to heat
hyperthyroidism,"Changes in bowel patterns, especially more frequent bowel movements"
hyperthyroidism,"An enlarged thyroid gland (goiter), which may appear as a swelling at the base of your neck"
hyperthyroidism,"Fatigue, muscle weakness"
hyperthyroidism,Difficulty sleeping
hyperthyroidism,Skin thinning
hyperthyroidism,"Fine, brittle hair"
Food-borne Illness,vomiting
Food-borne Illness,diarrhea or bloody diarrhea
Food-borne Illness,abdominal pain
Food-borne Illness,fever
Food-borne Illness,chills
Food-borne Illness,headache
Food-borne Illness,tingling or numbness of the skin
Food-borne Illness,blurred vision
Food-borne Illness,weakness
Food-borne Illness,dizziness
Food-borne Illness,paralysis
Shingles,"Pain, burning, numbness or tingling"
Shingles,A red rash that begins a few days after the pain
Shingles,Fluid-filled blisters that break open and crust over
Shingles,Itching
Shingles,Fever and chills
Shingles,General achiness
Shingles,Headache
Shingles,Fatigue
Strep Throat,Throat pain
Strep Throat,Difficulty swallowing
Strep Throat,"Red and swollen tonsils, sometimes with white patches or streaks of pus"
Strep Throat,Tiny red spots on the soft or hard palate — the area at the back of the roof of the mouth
Strep Throat,"Swollen, tender lymph glands (nodes) in your neck"
Strep Throat,Fever
Strep Throat,Headache
Strep Throat,Rash
Strep Throat,"Stomachache and sometimes vomiting, especially in younger children"
Strep Throat,Fatigue